gameid,playerid,estOFFRTG,OFFRTG,estDEFRTG,DEFRTG,estNETRTG,NETRTG,ASTpct,ASTtoTOV,ASTratio,ORBpct,DRBpct,REBpct,TOVratio,effFGpct,TSpct,USGpct,estUSGpct,estpace,pace,paceper40,POS,pie,home_basic,FGM,FGA,FGpct,3PM,3PA,3Ppct,FTM,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,plusminusPTS,home,win,date,team,name,SEC,PTSoffTOV,2ndPTS,FBPTS,PIP,oppPTSoffTOV,opp2ndPTS,oppFBPTS,oppPIP,BLKA,foulsdrawn,SPD,DIST,REBchancesOFF,REBchancesDEF,REBchancestotal,touches,2ndAST,FTAST,passes,contestedFGM,contestedFGA,contestedFGpct,uncontestedFGM,uncontestedFGA,uncontestedFGpct,defendedatrimFGM,defendedatrimFGA,defendedatrimFGpct,date_num
22200065,2617,50.0,50.0,61.5,60.0,-11.5,-10.0,0.0,0.0,0.0,0.0,0.333,0.2,0.0,0.0,0.0,0.25,0.25,94.02,95.29,79.41,4,0.143,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,-1,25,0.0,2022-10-26 00:00:00,16,524,136,0,0,0,0,0,0,0,0,0,0,3.35,0.14,0,1,1,5,0,0,4,0,1,0.0,0,0,0.0,0,0,0.0,9.0
22200081,2617,115.6,105.0,120.2,126.3,-4.6,-21.3,0.0,0.0,0.0,0.0,0.143,0.056,0.0,0.5,0.521,0.13,0.149,115.08,117.74,98.11,20,0.034,0,1,2,0.5,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,1,3,-3,26,1.0,2022-10-29 00:00:00,16,524,477,0,0,0,0,2,2,2,12,0,2,3.8,0.55,0,2,2,7,0,0,4,0,0,0.0,1,2,0.5,1,1,1.0,12.0
22200314,2617,84.7,84.2,110.2,104.5,-25.4,-20.3,0.0,0.0,0.0,0.071,0.0,0.045,0.0,0.0,0.0,0.087,0.091,98.88,101.97,84.97,19,-0.015,0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0,-7,3,1.0,2022-11-30 00:00:00,16,524,579,0,0,0,0,2,5,3,10,0,1,3.71,0.64,2,3,5,14,0,0,11,0,0,0.0,0,2,0.0,1,1,1.0,42.0
22200328,2617,169.5,177.8,158.7,160.0,10.8,17.8,0.0,0.0,0.0,0.25,0.0,0.2,0.0,0.0,0.0,0.091,0.087,104.88,102.09,85.07,9,-0.152,0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,3,0,0,3,0.0,2022-12-02 00:00:00,16,524,268,0,0,0,0,2,0,4,2,0,1,4.24,0.34,2,0,2,7,1,0,6,0,1,0.0,0,0,0.0,0,1,0.0,44.0
22200424,2617,95.2,100.0,138.0,130.8,-42.8,-30.8,0.0,0.0,0.0,0.063,0.091,0.074,0.0,0.0,0.0,0.129,0.128,99.9,99.97,83.31,26,-0.118,0,0,4,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,3,0,-8,11,0.0,2022-12-15 00:00:00,16,524,749,0,0,0,0,6,5,6,20,0,2,3.93,0.85,5,3,8,17,0,0,12,0,2,0.0,0,2,0.0,0,0,0.0,57.0
22200780,2617,83.0,82.6,112.7,108.3,-29.6,-25.7,0.0,0.0,0.0,0.071,0.143,0.095,0.0,0.0,0.0,0.08,0.08,106.23,108.64,90.53,23,-0.043,0,0,2,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,-7,20,1.0,2023-02-02 00:00:00,16,524,623,0,0,0,0,2,4,0,8,0,1,3.79,0.71,3,3,6,9,0,0,7,0,0,0.0,0,2,0.0,0,2,0.0,105.0
22201219,2617,113.8,113.5,106.5,109.4,7.4,4.0,0.0,0.0,0.0,0.0,0.094,0.054,5.3,0.618,0.655,0.339,0.34,102.4,101.13,84.28,52,0.154,1,9,17,0.529,3,7,0.429,3,3,1.0,0,3,3,0,0,1,1,3,24,1,16,1.0,2023-04-09 00:00:00,16,524,1495,2,3,2,8,13,3,8,16,0,3,3.74,1.69,3,8,10,51,1,0,31,2,5,0.4,7,12,0.583,2,2,1.0,164.0
42200103,2617,33.3,33.3,140.0,116.7,-106.7,-83.3,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.333,0.333,107.03,116.76,97.3,6,-0.1,1,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-5,16,1.0,2023-04-22 00:00:00,16,524,148,0,0,0,0,2,0,3,2,0,0,3.31,0.15,0,1,1,3,0,0,1,0,1,0.0,0,1,0.0,0,0,0.0,175.0
42200403,2617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,48.32,96.64,80.54,1,2.0,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,16,0.0,2023-06-07 00:00:00,16,524,30,0,0,0,0,0,0,0,0,0,0,3.38,0.03,0,0,0,2,0,0,1,0,0,0.0,0,1,0.0,0,0,0.0,210.0
22200594,2738,100.9,92.9,95.2,96.3,5.8,-3.4,0.111,0.5,33.3,0.0,0.125,0.071,66.7,0.0,0.0,0.063,0.07,106.47,110.32,91.93,28,0.0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,2,1,0,0,10,0.0,2023-01-07 00:00:00,10,19,718,0,0,0,0,10,4,4,14,0,0,4.2,0.89,2,2,3,18,1,0,16,0,0,0.0,0,0,0.0,1,2,0.5,79.0
22200615,2738,100.5,96.3,88.2,88.9,12.2,7.4,0.333,3.0,60.0,0.063,0.0,0.037,20.0,1.0,1.0,0.065,0.067,101.64,103.4,86.17,27,0.038,1,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,3,0,0,1,3,2,2,10,0.0,2023-01-10 00:00:00,10,19,752,0,2,0,2,2,5,0,14,0,1,4.37,0.97,1,2,3,24,0,0,23,1,1,1.0,0,0,0.0,1,1,1.0,82.0
22200635,2738,124.8,124.4,85.7,83.3,39.1,41.1,0.053,0.5,16.7,0.0,0.182,0.103,33.3,0.833,0.833,0.114,0.114,109.37,111.08,92.57,41,0.096,0,2,3,0.667,1,2,0.5,0,0,0.0,0,4,4,1,1,1,2,1,5,16,27,0.0,2023-01-13 00:00:00,10,19,1076,2,0,2,2,7,0,7,18,0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,85.0
22200964,2738,134.5,143.3,104.4,100.0,30.1,43.3,0.143,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.063,103.96,102.96,85.8,30,-0.007,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,1,0,1,0,11,14,1.0,2023-03-05 00:00:00,10,19,867,0,0,0,0,2,2,0,8,0,2,4.04,1.03,0,2,2,23,0,0,20,0,0,0.0,0,2,0.0,1,1,1.0,130.0
22200982,2738,96.8,100.0,156.5,157.7,-59.6,-57.7,0.3,1.0,42.9,0.0,0.222,0.091,42.9,1.0,1.0,0.138,0.139,112.54,110.29,91.91,27,0.058,0,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,3,0,0,3,0,2,-14,21,1.0,2023-03-07 00:00:00,10,19,692,0,0,0,2,4,2,3,16,0,1,4.27,0.88,0,3,3,25,1,0,21,0,0,0.0,1,1,1.0,2,4,0.5,132.0
22200996,2738,118.4,109.8,109.3,107.9,9.1,1.9,0.235,0.0,57.1,0.0,0.063,0.033,0.0,0.0,0.0,0.07,0.077,102.74,107.47,89.56,41,0.035,0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,4,2,0,0,1,0,4,15,1.0,2023-03-09 00:00:00,10,19,1059,0,0,0,0,10,2,6,16,0,1,4.2,1.32,0,4,4,36,1,0,32,0,0,0.0,0,3,0.0,2,2,1.0,134.0
22201012,2738,106.4,107.7,123.0,124.0,-16.6,-16.3,0.222,2.0,40.0,0.154,0.273,0.208,20.0,0.5,0.5,0.1,0.102,118.08,116.89,97.41,26,0.087,1,1,2,0.5,0,1,0.0,0,0,0.0,2,3,5,2,0,1,1,1,2,-3,10,1.0,2023-03-11 00:00:00,10,19,628,0,2,0,2,2,2,0,12,0,0,4.43,0.82,2,5,7,21,1,0,18,1,1,1.0,0,1,0.0,2,2,1.0,136.0
22201025,2738,153.1,145.9,96.8,97.2,56.3,48.7,0.176,0.0,42.9,0.0,0.091,0.057,0.0,0.667,0.694,0.1,0.107,106.94,109.27,91.06,37,0.088,1,2,3,0.667,0,1,0.0,2,3,0.667,0,2,2,3,1,0,0,3,6,19,10,1.0,2023-03-13 00:00:00,10,19,962,0,0,0,4,2,6,2,22,0,2,3.9,1.16,0,5,5,24,0,0,20,2,3,0.667,0,0,0.0,2,2,1.0,138.0
42200232,202684,88.8,87.0,72.9,77.3,15.9,9.7,0.333,0.0,25.0,0.077,0.214,0.148,0.0,0.5,0.434,0.24,0.255,91.68,90.0,75.0,23,0.18,0,2,4,0.5,0,0,0.0,1,4,0.25,1,3,4,2,0,0,0,1,5,3,10,1.0,2023-05-04 00:00:00,14,513,720,2,3,2,4,0,7,0,6,0,4,3.89,0.85,4,5,9,16,0,0,9,2,4,0.5,0,0,0.0,1,3,0.333,187.0
42200233,202684,135.7,126.7,100.8,107.1,34.9,19.5,0.0,0.0,0.0,0.4,0.143,0.25,25.0,0.333,0.333,0.235,0.25,120.89,121.4,101.16,15,0.028,1,1,3,0.333,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,0,2,4,14,1.0,2023-05-06 00:00:00,14,513,344,2,0,0,2,4,4,0,10,0,0,4.28,0.46,2,2,4,7,0,0,2,1,3,0.333,0,0,0.0,1,1,1.0,189.0
42200236,202684,87.2,85.7,100.0,87.5,-12.8,-1.8,0.0,0.0,0.0,0.0,0.333,0.182,0.0,0.0,0.0,0.0,0.0,88.83,96.0,80.0,7,0.148,1,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-1,14,1.0,2023-05-12 00:00:00,14,513,225,0,0,0,0,0,3,0,2,0,0,3.76,0.25,0,3,3,5,0,0,4,0,0,0.0,0,0,0.0,0,0,0.0,195.0
42200312,202684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.15,234.15,195.12,1,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,8,1.0,2023-05-18 00:00:00,14,513,12,0,0,0,0,0,0,0,0,0,0,2.47,0.01,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,199.0
42200313,202684,200.0,100.0,0.0,0.0,200.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.74,74.61,62.18,2,0.0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,14,0.0,2023-05-20 00:00:00,14,513,58,0,0,0,0,0,0,0,0,0,0,2.88,0.05,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,201.0
