Original,Predicted
88.9,89.73243
119.9,110.1477
94.7,63.808083
125.6,115.50705
89.8,97.285545
114.6,113.864944
139.6,93.203384
83.3,111.13386
100.9,97.44154
57.6,106.486916
120.2,110.35444
25.0,103.48949
100.0,106.33045
66.7,94.118774
100.0,102.73734
112.5,84.99709
139.9,109.25783
33.3,87.80194
100.0,108.06614
75.0,80.79405
139.8,117.414894
118.0,67.464424
155.7,108.37116
104.4,88.82077
72.7,114.99547
120.9,110.03826
100.0,123.07578
42.900000000000006,93.36155
71.7,107.18116
73.7,94.33646
140.6,110.58519
139.5,90.29067
120.1,113.00351
115.7,101.91138
129.9,100.64111
22.5,115.41355
109.7,117.15342
137.3,85.52785
157.8,106.02149
142.6,87.65089
145.0,120.7868
121.3,122.28036
124.1,125.656555
138.6,120.45263
57.099999999999994,130.19313
91.8,101.3058
134.3,112.447235
80.8,121.84607
122.5,119.347336
44.2,111.38077
97.8,124.75367
132.5,98.73431
137.7,109.850044
153.9,107.87854
123.0,94.24667
73.0,109.6822
50.3,125.73812
136.2,107.630844
113.4,111.79152
137.6,93.729095
79.4,97.06146
112.6,122.20792
108.5,110.46657
131.8,125.38252
89.2,109.47219
112.7,108.30437
141.7,92.16135
133.3,121.838585
55.1,111.87796
102.5,125.53338
